time;rpm_wheel;rpm_engine
942;690;690
944;690;690
946;705;705
948;690;690
950;630;630
952;690;690
954;690;690
956;705;705
958;690;690
960;690;690
962;705;705
964;690;690
966;690;690
968;690;690
970;705;705
972;690;690
974;705;705
976;690;690
978;705;705
980;690;690
982;690;690
984;705;705
986;705;705
988;690;690
990;690;690
992;705;705
994;690;690
996;705;705
998;705;705
1000;690;690
1002;690;690
1004;705;705
1006;690;690
1008;705;705
1010;690;690
1012;705;705
1014;690;690
1016;690;690
1018;705;705
1020;690;690
1022;705;705
1024;690;690
1026;690;690
1028;705;705
1030;690;690
1032;615;615
1034;705;705
1036;690;690
1038;690;690
1040;705;705
1042;705;705
1044;690;690
1046;690;690
1048;690;690
1050;705;705
1052;690;690
1054;690;690
1056;690;690
1058;705;705
1060;690;690
1062;690;690
1064;690;690
1066;705;705
1068;690;690
1070;690;690
1072;690;690
1074;705;705
1076;675;675
1078;705;705
1080;690;690
1082;690;690
1084;690;690
1086;705;705
1088;690;690
1090;690;690
1092;690;690
1094;690;690
1096;690;690
1098;705;705
1100;690;690
1102;690;690
1104;690;690
1106;690;690
1108;690;690
1110;690;690
1112;630;630
1114;690;690
1116;675;675
1118;705;705
1120;690;690
1122;675;675
1124;705;705
1126;690;690
1128;690;690
1130;675;675
1132;690;690
1134;690;690
1136;690;690
1138;690;690
1140;690;690
1142;675;675
1144;690;690
1146;690;690
1148;690;690
1150;675;675
1152;690;690
1154;690;690
1156;690;690
1158;675;675
1160;690;690
1162;690;690
1164;675;675
1166;690;690
1168;690;690
1170;675;675
1172;690;690
1174;690;690
1176;675;675
1178;675;675
1180;690;690
1182;690;690
1184;675;675
1186;675;675
1188;690;690
1190;600;600
1192;690;690
1194;675;675
1196;675;675
1198;690;690
1200;675;675
1202;675;675
1204;675;675
1206;690;690
1208;675;675
1210;675;675
1212;675;675
1214;675;675
1216;675;675
1218;675;675
1220;675;675
1222;675;675
1224;675;675
1226;675;675
1228;675;675
1230;675;675
1232;660;660
1234;675;675
1236;675;675
1238;675;675
1240;660;660
1242;675;675
1244;660;660
1246;675;675
1248;660;660
1250;660;660
1252;660;660
1254;660;660
1256;645;645
1258;660;660
1260;645;645
1262;630;630
1264;645;645
1266;630;630
1268;615;615
1270;555;555
1272;600;600
1274;600;600
1276;570;570
1278;570;570
1280;570;570
1282;555;555
1284;570;570
1286;555;555
1288;570;570
1290;555;555
1292;570;570
1294;555;555
1296;570;570
1298;570;570
1300;555;555
1302;570;570
1304;570;570
1306;555;555
1308;570;570
1310;555;555
1312;570;570
1314;555;555
1316;570;570
1318;570;570
1320;555;555
1322;570;570
1324;555;555
1326;570;570
1328;555;555
1330;570;570
1332;555;555
1334;570;570
1336;570;570
1338;555;555
1340;570;570
1342;555;555
1344;570;570
1346;570;570
1348;510;510
1350;570;570
1352;555;555
1354;570;570
1356;570;570
1358;555;555
1360;570;570
1362;555;555
1364;570;570
1366;555;555
1368;570;570
1370;555;555
1372;570;570
1374;555;555
1376;555;555
1378;570;570
1380;555;555
1382;570;570
1384;555;555
1386;555;555
1388;555;555
1390;555;555
1392;555;555
1394;555;555
1396;555;555
1398;555;555
1400;555;555
1402;555;555
1404;555;555
1406;540;540
1408;555;555
1410;555;555
1412;540;540
1414;555;555
1416;540;540
1418;540;540
1420;555;555
1422;540;540
1424;540;540
1426;480;480
1428;540;540
1430;540;540
1432;525;525
1434;525;525
1436;525;525
1438;525;525
1440;510;510
1442;525;525
1444;510;510
1446;495;495
1448;510;510
1450;495;495
1452;480;480
1454;480;480
1456;480;480
1458;450;450
1460;450;450
1462;450;450
1464;435;435
1466;420;420
1468;435;435
1470;435;435
1472;435;435
1474;435;435
1476;435;435
1478;435;435
1480;435;435
1482;435;435
1484;435;435
1486;450;450
1488;420;420
1490;435;435
1492;435;435
1494;435;435
1496;435;435
1498;435;435
1500;420;420
1502;420;420
1504;375;375
1506;240;240
1508;210;210
1510;180;180
1512;165;165
1514;165;165
1516;150;150
1518;165;165
1520;150;150
1522;165;165
1524;150;150
1526;150;150
1528;165;165
1530;150;150
1532;150;150
1534;165;165
1536;150;150
1538;150;150
1540;150;150
1542;165;165
1544;150;150
1546;150;150
1548;165;165
1550;150;150
1552;150;150
1554;150;150
1556;165;165
1558;150;150
1560;150;150
1562;150;150
1564;165;165
1566;150;150
1568;165;165
1570;150;150
1572;165;165
1574;135;135
1576;165;165
1578;150;150
1580;165;165
1582;150;150
1584;135;135
1586;150;150
1588;165;165
1590;150;150
1592;150;150
1594;165;165
1596;150;150
1598;150;150
1600;150;150
1602;165;165
1604;150;150
1606;150;150
1608;150;150
1610;165;165
1612;150;150
1614;150;150
1616;150;150
1618;165;165
1620;150;150
1622;150;150
1624;150;150
1626;165;165
1628;150;150
1630;150;150
1632;150;150
1634;165;165
1636;135;135
1638;165;165
1640;150;150
1642;150;150
1644;150;150
1646;165;165
1648;150;150
1650;150;150
1652;150;150
1654;165;165
1656;150;150
1658;150;150
1660;150;150
1662;165;165
1664;150;150
1666;150;150
1668;150;150
1670;165;165
1672;150;150
1674;150;150
1676;150;150
1678;165;165
1680;150;150
1682;150;150
1684;150;150
1686;165;165
1688;150;150
1690;150;150
1692;150;150
1694;150;150
1696;165;165
1698;150;150
1700;150;150
1702;150;150
1704;165;165
1706;150;150
1708;150;150
1710;150;150
1712;150;150
1714;150;150
1716;165;165
1718;150;150
1720;150;150
1722;150;150
1724;165;165
1726;135;135
1728;165;165
1730;150;150
1732;150;150
1734;150;150
1736;165;165
1738;135;135
1740;165;165
1742;135;135
1744;165;165
1746;150;150
1748;150;150
1750;150;150
1752;150;150
1754;150;150
1756;165;165
1758;135;135
1760;165;165
1762;150;150
1764;150;150
1766;150;150
1768;165;165
1770;150;150
1772;150;150
1774;150;150
1776;165;165
1778;135;135
1780;165;165
1782;150;150
1784;150;150
1786;150;150
1788;165;165
1790;150;150
1792;150;150
1794;150;150
1796;165;165
1798;150;150
1800;75;75
1802;165;165
1804;150;150
1806;165;165
1808;150;150
1810;150;150
1812;165;165
1814;150;150
1816;150;150
1818;165;165
1820;120;120
1822;165;165
1824;150;150
1826;165;165
1828;135;135
1830;165;165
